"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI TIC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI TIC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI BPC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(319.8662) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,13.633,13.726,13.914,8614,31033,11.07,31.87,5.50,0.280,,0,0,0,0,,8614,,,BB,313.0005,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,23.368,23.454,23.616,4926,22987,8.20,18.22,4.07,0.247,,0,66,0,0,,4926,,,BV,750.7096,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,28.302,28.483,28.698,21780,193663,69.05,80.58,34.31,0.396,,0,246,0,0,,21780,,,BV,762.3949,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,31.007,31.225,31.420,27029,280455,100.00,100.00,49.69,0.412,,0,1029,0,0,,27029,,,BV,762.3853,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,32.377,32.608,32.872,4218,36269,12.93,15.61,6.43,0.495,,0,0,0,0,,4218,,,BB,712.3673,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(591.2807) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,12.148,12.238,12.347,6317,21699,54.66,77.89,19.48,0.198,,0,0,0,0,,6317,,,BB,383.7109,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,17.841,17.963,18.138,8110,39699,100.00,100.00,35.64,0.297,,0,0,0,0,,8110,,,BB,730.3372,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,21.586,21.721,21.900,1453,13249,33.37,17.92,11.89,0.313,,0,0,0,0,,1453,,,BB,844.4150,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,28.351,28.460,28.483,5887,24475,61.65,72.59,21.97,0.132,,78,3274,78,78,,5965,,,BV,762.3949,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,31.073,31.153,31.172,4982,12263,30.89,61.43,11.01,0.099,,0,3300,0,0,,4982,,,BV,762.3853,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(668.3614) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,12.446,12.518,12.644,934,4579,0.12,0.12,0.12,0.198,,0,0,0,0,,934,,,BB,324.1955,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,18.286,18.425,18.715,751174,3742319,100.00,100.00,99.11,0.429,,0,855,0,0,,751174,,,BV,668.3591,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,18.765,18.831,18.979,5279,22194,0.59,0.70,0.59,0.215,,758,174,174,174,,5453,,,VB,446.9724,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,32.740,32.822,32.938,1701,6823,0.18,0.23,0.18,0.198,,0,0,0,0,,1701,,,BB,964.4670,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(673.3724) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,24.375,24.517,25.117,928278,10893198,100.00,100.00,99.43,0.742,,0,15290,0,0,,928278,,,BV,449.2500,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,34.819,34.859,34.901,1362,3013,0.03,0.15,0.03,0.083,,285,482,285,285,,1647,,,BV,698.1178,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,47.754,47.794,47.837,910,2044,0.02,0.10,0.02,0.083,,113,0,0,0,,910,,,VB,1248.3696,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,51.500,51.533,51.615,878,2303,0.02,0.09,0.02,0.115,,129,352,129,129,,1007,,,BV,289.1496,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,56.384,56.499,56.615,9564,54746,0.50,1.03,0.50,0.231,,258,1791,258,258,,9822,,,BV,625.5723,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(712.1203) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,30.216,30.374,30.381,1004,2782,0.09,0.28,0.09,0.165,,0,528,0,0,,1004,,,BV,743.3814,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,32.377,32.591,32.888,360980,3123390,100.00,100.00,97.64,0.512,,0,1119,0,0,,360980,,,BV,712.3673,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,33.169,33.172,33.252,1288,2489,0.08,0.36,0.08,0.083,,0,105,0,0,,1288,,,BV,271.1890,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,37.244,37.320,37.541,9542,63285,2.03,2.64,1.98,0.297,,0,341,0,0,,9542,,,BV,915.4471,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,46.732,46.893,46.913,1845,6850,0.22,0.51,0.21,0.181,,0,544,0,0,,1845,,,BV,699.7458,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(730.3384) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,17.824,17.943,18.220,597501,3043573,100.00,100.00,98.95,0.396,,0,702,0,0,,597501,,,BV,730.3372,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,18.220,18.283,18.451,3809,16819,0.55,0.64,0.55,0.231,,702,453,286,453,,4217,,,VB,415.0169,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,39.868,39.937,40.066,1259,4785,0.16,0.21,0.16,0.198,,0,0,0,0,,1259,,,BB,1109.7268,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,45.263,45.349,45.445,1443,7506,0.25,0.24,0.24,0.182,,0,106,0,0,,1443,,,BV,883.2033,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,46.781,46.873,46.930,779,3129,0.10,0.13,0.10,0.149,,0,106,0,0,,779,,,BV,699.7458,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(738.9029) Scan Frag=125.0V WorklistData-0005.d "
